FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17039,Illinois,De Witt,222,375,323,426,,,,11,77.7,38.8,139.1,,,,,,,,,,,10,10,11,11,10,11,10,7,14,7,51,1760,11,167,1,12,25,10.0,17,15,9,24,30,29,32,550,6,5,7,92,3,2,3,9864,31,3245:1,,54926,49280,60572,,31071,54494,47,,23,,,,,,,,16226,21.7,18.8,132,0.8,41,0.3,73,0.4,8,0.0,428,2.6,15371,94.7,83,0.5,0.0,1.2,50.4,8074,48.8,
17041,Illinois,Douglas,228,335,290,379,,,,10,49.6,23.8,91.2,,,,,,,,,,,11,11,12,11,11,11,9,7,13,,,1860,9,609,3,,,5.0,21,15,9,23,31,29,32,1278,11,9,13,229,4,3,6,9896,46,2181:1,17,55891,52253,59529,,44787,54016,38,,32,,,,10,10,5,19,19630,25.0,16.8,103,0.5,61,0.3,148,0.8,1,0.0,1444,7.4,17692,90.1,306,1.7,0.9,2.4,50.4,12315,61.6,
17043,Illinois,DuPage,6787,212,207,217,289,138,231,279,32.0,28.3,35.8,49.7,33.9,29.3,333,5,4,5,8,4,4,10,9,10,9,9,9,9,7,10,606,78,68210,7,36358,4,336,12,6.0,269,4,4,5,30,29,31,41283,7,7,8,6718,3,2,4,9869,64,1567:1,8,84999,82602,87396,49666,58220,85867,27,44,31,1,1,2,179,4,3,4,929368,23.0,14.4,45379,4.9,3793,0.4,109901,11.8,572,0.1,132653,14.3,626801,67.4,33953,3.9,3.7,4.1,50.9,436,0.0,
17045,Illinois,Edgar,292,411,361,461,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,10,7,13,,,2340,13,2873,15,,,7.0,25,20,13,29,29,28,31,820,8,7,9,108,3,2,4,10457,74,1351:1,20,47062,41495,52629,,,,44,,19,,,,11,12,6,22,17566,20.7,20.9,92,0.5,42,0.2,60,0.3,4,0.0,210,1.2,17023,96.9,60,0.4,0.0,0.9,51.2,9623,51.8,
17047,Illinois,Edwards,97,387,310,477,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,10,8,14,,,720,11,533,8,,,11.0,12,26,13,45,30,29,31,272,7,6,8,48,3,2,4,9297,46,2174:1,,48884,43739,54029,,,,35,,,,,,,,,,6523,22.5,20.2,36,0.6,19,0.3,25,0.4,0,0.0,84,1.3,6302,96.6,13,0.2,0.0,1.3,50.8,6721,100.0,
17049,Illinois,Effingham,380,323,289,357,,,,26,80.0,52.3,117.2,,,,25,8,5,12,,,,10,10,11,10,10,11,10,7,13,9,32,3400,10,1635,5,,,5.0,46,19,14,26,29,27,30,1152,6,5,7,206,2,2,3,9537,125,800:1,11,51809,47325,56293,47560,42102,53060,35,,39,4,2,8,,,,,34386,23.4,17.5,139,0.4,87,0.3,230,0.7,11,0.0,666,1.9,33051,96.1,154,0.5,0.1,0.9,50.2,20442,59.7,
17051,Illinois,Fayette,293,375,331,419,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,10,7,14,42,224,2850,13,3110,14,10,15,7.0,39,25,18,35,31,30,32,1115,9,8,11,173,4,2,5,10042,41,2421:1,29,46290,41761,50819,,,,55,,23,,,,11,10,5,18,21789,21.2,17.4,1082,5.0,57,0.3,76,0.3,5,0.0,378,1.7,19972,91.7,108,0.5,0.0,1.2,46.7,14831,67.0,
17053,Illinois,Ford,188,382,324,439,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,10,7,14,7,61,1550,11,918,7,,,7.0,13,13,7,23,31,29,32,599,8,6,9,99,3,2,4,8907,66,1508:1,17,51861,45550,58172,,37188,49544,41,,19,,,,,,,,13575,22.9,19.9,120,0.9,43,0.3,60,0.4,4,0.0,430,3.2,12773,94.1,37,0.3,0.0,0.9,51.1,5883,41.8,
17055,Illinois,Franklin,782,523,484,561,,,,25,71.5,46.3,105.6,,,,26,8,5,12,,,,12,12,13,12,12,13,11,7,15,29,87,5680,14,1720,4,37,31,10.0,68,25,19,31,31,30,32,2074,9,8,11,253,3,2,4,10515,69,1450:1,25,40246,35353,45139,35000,28017,39908,55,55,37,,,,24,12,8,18,39156,22.2,20.0,209,0.5,148,0.4,163,0.4,5,0.0,603,1.5,37598,96.0,93,0.2,0.0,0.5,50.6,19219,48.6,
17057,Illinois,Fulton,551,405,370,440,,,,11,38.1,19.0,68.2,,,,,,,,,,,12,11,12,11,11,12,10,8,14,45,146,4700,13,2412,7,13,12,6.0,37,15,10,20,32,30,33,1544,8,7,9,205,3,2,4,9304,42,2369:1,20,49503,46245,52761,,30833,46234,50,,48,,,,17,9,6,15,35536,20.0,19.7,1313,3.7,244,0.7,116,0.3,5,0.0,998,2.8,32701,92.0,386,1.1,0.6,1.7,48.1,22251,60.0,
17059,Illinois,Gallatin,110,500,399,601,,,,,,,,,,,,,,,,,,12,12,13,12,12,13,11,8,15,6,133,690,13,1636,29,,,13.0,12,32,16,56,30,29,32,250,8,7,10,35,3,2,4,9926,38,2606:1,,39634,35143,44125,,,,63,,,,,,,,,,5212,20.7,23.4,42,0.8,18,0.3,6,0.1,0,0.0,91,1.7,4980,95.5,12,0.2,0.0,1.7,51.6,5589,100.0,
17061,Illinois,Greene,223,440,380,501,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,12,8,16,6,53,1720,13,882,6,,,7.0,19,20,12,31,31,29,32,595,8,6,9,92,3,2,4,10155,69,1455:1,19,44378,40197,48559,,,,49,,29,,,,,,,,13093,21.4,18.8,153,1.2,33,0.3,26,0.2,2,0.0,153,1.2,12633,96.5,6,0.0,0.0,0.7,49.4,9838,70.8,
