FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
17045,Illinois,Edgar,284,427,375,479,,,,,,,,,11,11,11,11,11,11,11,10,11,8,52,2700,15,2442,13,,,10.1-12.0,23,18,11,27,31,30,33,1548,15,13,17,166,4,3,5,9846,45,2230:1,45,2230:1,45485,40648,50322,40,,15,,,,17841,21.1,20.4,82,0.5,38,0.2,43,0.2,4,0.0,182,1.0,17363,97.3,55,0.3,0.0,0.9,51.5,9623,51.8,
17047,Illinois,Edwards,101,428,341,515,,,,,,,,,10,10,11,10,10,11,10,10,11,,,870,13,264,4,,,18.1-20.0,14,30,16,50,31,30,32,558,14,12,16,69,4,3,6,9263,30,3309:1,30,3309:1,46894,41707,52081,28,,,,,,6617,23.0,19.2,40,0.6,14,0.2,25,0.4,0,0.0,78,1.2,6409,96.9,8,0.1,0.0,1.2,51.1,6721,100.0,
17049,Illinois,Effingham,390,339,305,373,19,57,34,89,20,6,4,10,9,9,10,10,9,10,9,8,9,10,35,3880,11,1414,4,,,8.1-10.0,44,18,13,25,31,30,32,2571,13,11,14,334,4,3,5,8889,105,953:1,108,928:1,52578,48050,57106,30,,34,,,,34320,23.7,16.8,145,0.4,84,0.2,161,0.5,9,0.0,639,1.9,33089,96.4,110,0.3,0.0,0.7,50.2,20442,59.7,
17051,Illinois,Fayette,275,360,317,403,10,51,25,95,,,,,11,10,11,10,10,11,10,9,10,71,382,3230,15,2802,13,,,12.1-14.0,26,17,11,25,32,30,33,2108,18,15,20,253,5,4,7,10039,27,3645:1,27,3645:1,41268,37487,45049,47,,21,,,,21870,21.7,17.1,1007,4.6,54,0.2,80,0.4,5,0.0,378,1.7,20155,92.2,79,0.4,0.0,0.8,46.9,14831,67.0,
17053,Illinois,Ford,182,379,322,436,,,,,,,,,10,9,10,10,10,10,10,9,10,,,1720,12,663,5,,,12.1-14.0,19,19,12,30,31,30,32,1077,14,12,15,129,4,3,5,9124,58,1711:1,58,1711:1,50877,45723,56031,35,,20,,,,13688,22.8,19.8,116,0.8,41,0.3,58,0.4,4,0.0,403,2.9,12947,94.6,28,0.2,0.0,0.8,50.5,5883,41.8,
17055,Illinois,Franklin,688,474,437,510,29,81,54,117,29,9,6,13,11,11,12,11,11,12,11,10,11,20,60,6560,17,1902,5,28,24,18.1-20.0,55,20,15,26,32,31,34,3844,17,15,19,372,4,3,5,10426,61,1642:1,63,1576:1,37758,34602,40914,49,,43,,,,39411,22.1,19.5,199,0.5,141,0.4,174,0.4,4,0.0,613,1.6,37880,96.1,135,0.4,0.1,0.7,50.9,19219,48.6,
17057,Illinois,Fulton,533,398,363,433,16,53,30,86,22,8,5,13,11,10,11,10,10,11,10,9,11,71,226,5300,14,1471,4,11,10,10.1-12.0,38,15,10,20,32,31,33,3184,16,14,18,309,4,3,5,8970,31,3273:1,31,3273:1,44435,41174,47696,39,,29,,,,36007,20.2,18.9,1334,3.7,234,0.6,132,0.4,4,0.0,986,2.7,33190,92.2,291,0.8,0.4,1.3,47.8,22251,60.0,
17059,Illinois,Gallatin,119,529,428,630,,,,,,,,,11,11,12,11,11,11,11,11,12,6,129,810,15,1824,33,,,>20,11,28,14,50,31,30,32,516,16,14,18,51,5,3,6,8732,38,2646:1,57,1764:1,41045,35837,46253,43,,13,,,,5291,19.9,22.8,37,0.7,17,0.3,6,0.1,0,0.0,100,1.9,5050,95.4,2,0.0,0.0,1.4,51.5,5589,100.0,
17061,Illinois,Greene,171,354,299,408,,,,,,,,,11,10,11,11,10,11,10,10,11,6,52,1870,14,72,1,,,12.1-14.0,24,25,16,37,31,30,33,1280,16,14,18,142,5,3,6,9660,45,2239:1,45,2239:1,39738,35482,43994,46,,30,,,,13434,22.0,18.3,147,1.1,30,0.2,19,0.1,2,0.0,141,1.0,13012,96.9,19,0.1,0.0,0.8,49.7,9838,70.8,
17063,Illinois,Grundy,494,319,291,348,23,43,27,64,29,6,4,9,9,9,10,9,9,10,8,8,9,16,39,6030,12,1669,3,27,18,16.1-18.0,49,14,10,19,31,30,32,3829,12,11,14,499,4,3,5,10689,54,1868:1,56,1801:1,70092,63096,77088,23,49,26,,,,50425,25.9,12.9,682,1.4,192,0.4,421,0.8,21,0.0,4667,9.3,44074,87.4,541,1.2,0.6,1.7,50.1,12203,24.4,
17065,Illinois,Hamilton,142,460,380,539,,,,,,,,,11,10,11,11,10,11,11,10,11,,,1160,14,490,6,,,8.1-10.0,,,,,31,30,32,791,16,14,19,89,5,3,6,10825,48,2074:1,84,1185:1,49790,44982,54598,,,,,,,8296,22.3,20.2,52,0.6,29,0.3,19,0.2,1,0.0,129,1.6,8012,96.6,35,0.4,0.0,1.4,51.0,5759,68.1,
17067,Illinois,Hancock,211,290,248,332,,,,,,,,,10,10,10,10,10,10,11,10,11,,,2570,14,3402,18,,,8.1-10.0,27,20,13,30,31,30,32,1781,17,15,19,177,4,3,6,8788,43,2321:1,43,2321:1,48767,43297,54237,39,,42,,,,18564,20.6,23.1,72,0.4,52,0.3,60,0.3,14,0.1,272,1.5,17951,96.7,38,0.2,0.0,0.6,50.6,13559,71.0,
17069,Illinois,Hardin,79,468,360,597,,,,,,,,,12,12,12,12,11,12,13,12,13,,,730,17,381,9,,,>20,,,,,32,30,33,389,16,14,18,41,5,3,6,12915,73,1376:1,73,1376:1,37331,32746,41916,49,,6,,,,4129,20.0,23.3,28,0.7,30,0.7,30,0.7,5,0.1,67,1.6,3931,95.2,0,0.0,0.0,0.0,49.4,4320,100.0,
