FIPS,State,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Population,# not proficient in English,% not proficient in English,Female,Rural,% Diabetic,95% CI - Low,95% CI - High,Population,HIV rate,Sample Size,% Binge Drinking,95% CI - Low,95% CI - High,Physical Inactivity,95% CI - Low,95% CI - High,MPH No.,Population,MPH Rate,MPH Ratio,Household Income,95% CI - Low,95% CI - High,# high housing costs,Households,% high housing costs,% Free lunch,Population,Illiteracy,95% CI - Low,95% CI - High,Population,Liquor Stores,Liquor Store Rate,No. Drive Alone,Workers,% Drive Alone
17059,Illinois,Gallatin,5705,20.7,19.7,0.5,0.9,0.1,0,1.1,5608,30,0.5,51.6,100,10,7,12,5189,,22,,,,27,21,35,0,5867,0,5867:00:00,34580,31016,38144,581,2614,22,38,4985,10.1,4.7,18.5,5867,1,17,2180,2582,84
17061,Illinois,Greene,13567,23.6,17.4,0.6,0.3,0.1,0,0.6,12919,53,0.4,51,68.4,9,7,12,11553,,54,,,,28,22,37,0,13613,0,13613:0,38678,34407,42949,1309,5469,24,34,11369,9.7,4.6,17.6,13613,0,0,4589,6033,76
17063,Illinois,Grundy,48421,27.1,11.2,2.2,0.3,0.8,0,8.4,43014,948,2.2,49.7,38.5,8,6,9,38471,39,142,24,16,35,30,24,39,3,48005,6,16002:1,60738,56875,64601,4650,16467,28,11,30654,6.9,3.2,12.9,48005,5,10,18778,22118,85
17065,Illinois,Hamilton,8096,21.7,19.8,1.1,0.3,0.2,0,1.1,7702,84,1.1,51.2,66.8,10,8,12,7055,85,26,,,,28,22,36,0,8145,0,8145:00:00,38115,33663,42567,676,3354,20,36,6573,8.4,4,15.2,8145,2,25,2731,3425,80
17067,Illinois,Hancock,18359,22,19.4,0.7,0.2,0.3,0,0.9,17720,241,1.4,51.4,71.5,9,7,11,16093,,103,,,,28,22,35,0,18553,0,18553:0,41730,37669,45791,1642,7654,22,30,15327,7.7,3.7,13.9,18553,0,0,7306,9165,80
17069,Illinois,Hardin,4358,19.3,19.2,2.9,0.1,0.5,0.1,1.5,4204,0,0,50.1,100,9,7,12,3847,,25,,,,26,20,34,0,4408,0,4408:00:00,31547,27829,35265,376,1849,20,48,3749,10,4.7,18.1,4408,1,23,1255,1540,82
17071,Illinois,Henderson,7354,19.4,19.7,0.4,0.2,0.1,0,1.3,7259,56,0.8,50.8,98.6,10,7,12,6601,,33,,,,26,19,34,0,7463,0,7463:00:00,43252,38288,48216,794,3361,24,35,6503,9.1,4.3,16.7,7463,1,13,2889,3740,77
17073,Illinois,Henry,49314,23.4,16.9,1.6,0.1,0.4,0,4.5,46665,699,1.5,50.4,44.5,9,7,11,42137,45,204,19,13,27,28,23,35,2,49417,4,24709:1,48959,45230,52688,4504,19749,23,23,39813,7.6,3.6,13.8,49417,3,6,20192,23931,84
17075,Illinois,Iroquois,29690,24,18.9,1.3,0.3,0.5,0,5.8,28247,660,2.3,50.6,72.4,9,8,12,25602,31,144,17,10,27,27,22,34,2,29983,7,14992:1,46529,42326,50732,3007,11510,26,27,23799,9.3,4.4,16.7,29983,3,10,11209,14034,80
17077,Illinois,Jackson,58103,17.7,12.2,13.6,0.4,3.5,0.1,3.1,55272,976,1.8,49.5,37.2,7,6,9,50645,107,159,21,13,32,25,20,32,47,58151,81,1237:01:00,34763,32042,37484,9008,22483,40,45,43503,8.8,3.7,17.3,58151,7,12,19287,24598,78
