FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
17039,Illinois,De Witt,77.0,75.7,78.3,,,,227,372,321,423,,,,10,71,34,131,,,,,,,,,,,10,10,11,11,10,11,9,7,13,7,51,1660,10,167,1,15,31,19,17,10,26,30,29,32,581,6,5,7,92,3,2,3,31,3188:1,,56091,49516,62666,,32931,56661,48,,16,,,,,,,,5220,78,75,81,415,7,4,9,15942,21.9,18.7,120,0.8,47,0.3,81,0.5,8,0.1,457,2.9,15054,94.4,76,0,0,1,50.3,8074,48.8
17041,Illinois,Douglas,78.3,77.0,79.5,,,,261,375,328,422,,,,11,55,27,98,,,,,,,,,,,11,11,12,11,11,11,9,6,12,,,1820,9,609,3,,,24,17,11,26,31,29,32,1248,11,9,13,237,5,3,6,61,1646:1,12,54538,49094,59982,,45781,53005,37,,32,,,,10,10,5,19,5495,72,69,76,744,10,8,13,19748,25.2,17.6,101,0.5,65,0.3,143,0.7,1,0.0,1472,7.5,17772,90.0,332,2,1,3,50.5,12315,61.6
17043,Illinois,DuPage,82.5,82.3,82.6,79.9,87.5,81.7,6913,212,207,217,300,144,230,268,31,27,35,44,31,30,309,4,4,5,7,4,4,10,9,10,9,9,9,8,7,9,606,78,65520,7,36358,4,393,14,271,4,4,5,30,29,31,40877,7,6,8,5555,2,2,3,72,1392:1,4,89536,87027,92045,53005,61661,88846,30,42,31,2,1,2,182,4,3,5,249800,73,73,74,45762,14,13,14,930128,22.8,15.0,45473,4.9,3685,0.4,112605,12.1,493,0.1,134167,14.4,622983,67.0,32654,4,4,4,50.9,436,0.0
17045,Illinois,Edgar,77.0,75.7,78.3,,,,270,385,336,434,,,,10,68,33,125,,,,,,,,,,,12,11,12,12,11,12,10,7,13,,,2180,12,2873,15,,,26,21,14,31,29,28,31,746,7,6,9,96,3,2,3,98,1019:1,,46916,41690,52142,,,,47,,33,,,,10,11,5,21,5678,74,72,76,805,11,8,14,17328,20.6,21.3,98,0.6,44,0.3,59,0.3,4,0.0,217,1.3,16772,96.8,72,0,0,1,51.0,9623,51.8
17047,Illinois,Edwards,79.2,77.1,81.2,,,,98,374,300,460,,,,,,,,,,,,,,,,,,11,10,11,11,10,11,10,7,14,,,680,10,533,8,,,10,22,10,40,30,29,31,260,7,6,8,41,3,2,4,46,2162:1,,48649,43122,54176,,,,37,,,,,,,,,,2347,84,82,85,144,5,2,8,6486,22.5,21.1,37,0.6,28,0.4,23,0.4,0,0.0,92,1.4,6256,96.5,16,0,0,1,51.1,6721,100.0
17049,Illinois,Effingham,78.8,77.9,79.7,,,,365,305,272,337,,,,21,65,40,99,,,,23,7,5,11,,,,10,10,11,10,10,11,10,7,13,9,32,3260,10,1635,5,16,16,37,15,11,21,29,27,30,1260,6,5,7,200,2,2,3,146,683:1,,60061,54964,65158,31705,48056,54914,38,68,47,6,3,10,10,6,3,11,10443,78,76,80,754,6,4,7,34132,23.7,17.1,158,0.5,89,0.3,259,0.8,11,0.0,701,2.1,32695,95.8,126,0,0,1,50.2,20442,59.7
17051,Illinois,Fayette,78.2,77.0,79.3,,,,315,397,352,442,,,,,,,,,,,,,,,,,,12,11,12,12,11,12,9,6,13,42,224,2690,12,3110,14,15,23,35,23,16,32,31,30,32,998,9,7,10,149,3,2,4,41,2420:1,11,45193,40203,50183,,,,56,,35,,,,11,10,5,18,6184,81,79,83,757,10,8,13,21784,20.8,18.4,1102,5.1,60,0.3,73,0.3,5,0.0,393,1.8,19938,91.5,110,1,0,1,46.7,14831,67.0
17053,Illinois,Ford,76.9,75.6,78.2,,,,207,421,361,481,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,10,7,13,7,61,1530,11,918,7,,,11,11,6,21,31,29,32,542,7,6,8,86,3,2,3,98,1022:1,,55356,48601,62111,,,,45,33,17,,,,,,,,4035,71,68,74,538,10,7,12,13280,23.0,18.7,114,0.9,43,0.3,59,0.4,4,0.0,454,3.4,12461,93.8,52,0,0,1,50.9,5883,41.8
17055,Illinois,Franklin,74.7,73.8,75.6,,,,778,520,481,558,,,,23,66,42,99,,,,22,7,4,10,,,,12,12,13,12,12,13,10,7,14,29,87,5630,14,1720,4,40,34,69,25,20,32,31,30,32,1873,8,7,10,224,3,2,3,72,1394:1,14,40682,36978,44386,29922,29457,39886,48,55,36,,,,20,10,6,16,11767,72,70,74,1840,12,10,14,39041,22.4,20.1,206,0.5,175,0.4,170,0.4,5,0.0,707,1.8,37360,95.7,79,0,0,1,50.7,19219,48.6
17057,Illinois,Fulton,76.3,75.4,77.3,,,,563,417,381,453,,,,13,46,24,78,,,,,,,,,,,12,11,12,11,11,12,10,7,13,45,146,4560,13,2412,7,18,17,40,16,11,22,32,30,33,1431,7,6,9,208,3,2,4,46,2194:1,7,49315,45086,53544,46324,31974,48904,50,65,40,,,,18,10,6,16,10906,78,76,79,1192,9,7,10,35110,19.7,20.3,1340,3.8,233,0.7,121,0.3,4,0.0,1088,3.1,32161,91.6,338,1,0,2,47.9,22251,60.0
